gameId,GAME_DATE,HOME_WON,PRED,H_POINTS,A_POINTS,H_teamName,A_teamName
0022300061,2023-10-24,1,1,119,107,Denver Nuggets,Los Angeles Lakers
0022300062,2023-10-24,0,1,104,108,Golden State Warriors,Phoenix Suns
0022300069,2023-10-25,1,1,97,94,Toronto Raptors,Minnesota Timberwolves
0022300063,2023-10-25,1,0,116,110,Charlotte Hornets,Atlanta Hawks
0022300064,2023-10-25,1,1,143,120,Indiana Pacers,Washington Wizards
0022300065,2023-10-25,0,0,104,108,New York Knicks,Boston Celtics
0022300066,2023-10-25,1,1,116,86,Orlando Magic,Houston Rockets
0022300067,2023-10-25,0,1,113,114,Brooklyn Nets,Cleveland Cavaliers
0022300068,2023-10-25,1,1,103,102,Miami Heat,Detroit Pistons
0022300070,2023-10-25,0,1,104,124,Chicago Bulls,Oklahoma City Thunder
0022300071,2023-10-25,0,1,104,111,Memphis Grizzlies,New Orleans Pelicans
0022300072,2023-10-25,0,0,114,130,Utah Jazz,Sacramento Kings
0022300073,2023-10-25,0,0,119,126,San Antonio Spurs,Dallas Mavericks
0022300074,2023-10-25,1,1,123,111,LA Clippers,Portland Trail Blazers
0022300075,2023-10-26,1,1,118,117,Milwaukee Bucks,Philadelphia 76ers
0022300076,2023-10-26,1,1,100,95,Los Angeles Lakers,Phoenix Suns
0022300077,2023-10-27,0,1,99,111,Charlotte Hornets,Detroit Pistons
0022300078,2023-10-27,0,0,104,108,Memphis Grizzlies,Denver Nuggets
0022300079,2023-10-27,0,0,120,126,Atlanta Hawks,New York Knicks
0022300081,2023-10-27,0,1,105,108,Cleveland Cavaliers,Oklahoma City Thunder
0022300080,2023-10-27,1,1,119,111,Boston Celtics,Miami Heat
0022300083,2023-10-27,1,1,126,122,San Antonio Spurs,Houston Rockets
0022300084,2023-10-27,1,1,125,120,Dallas Mavericks,Brooklyn Nets
0022300085,2023-10-27,1,0,120,118,Utah Jazz,LA Clippers
0022300086,2023-10-27,0,0,97,102,Portland Trail Blazers,Orlando Magic
0022300087,2023-10-27,0,1,114,122,Sacramento Kings,Golden State Warriors
0022300082,2023-10-27,1,1,104,103,Chicago Bulls,Toronto Raptors
0022300092,2023-10-28,0,1,107,114,Toronto Raptors,Philadelphia 76ers
0022300094,2023-10-28,1,1,126,104,Phoenix Suns,Utah Jazz
0022300093,2023-10-28,1,1,106,90,Minnesota Timberwolves,Miami Heat
0022300091,2023-10-28,0,1,113,125,Cleveland Cavaliers,Indiana Pacers
0022300090,2023-10-28,1,1,96,87,New Orleans Pelicans,New York Knicks
0022300089,2023-10-28,1,1,113,106,Washington Wizards,Memphis Grizzlies
0022300088,2023-10-28,1,0,118,102,Detroit Pistons,Chicago Bulls
0022300095,2023-10-29,0,0,95,128,Oklahoma City Thunder,Denver Nuggets
0022300096,2023-10-29,0,0,95,106,Houston Rockets,Golden State Warriors
0022300097,2023-10-29,0,1,110,127,Milwaukee Bucks,Atlanta Hawks
0022300098,2023-10-29,1,1,126,98,Philadelphia 76ers,Portland Trail Blazers
0022300099,2023-10-29,1,1,123,83,LA Clippers,San Antonio Spurs
0022300100,2023-10-29,1,1,132,127,Sacramento Kings,Los Angeles Lakers
0022300109,2023-10-30,1,1,124,112,Oklahoma City Thunder,Detroit Pistons
0022300108,2023-10-30,0,1,102,130,New Orleans Pelicans,Golden State Warriors
0022300110,2023-10-30,1,1,110,102,Denver Nuggets,Utah Jazz
0022300107,2023-10-30,1,1,122,114,Milwaukee Bucks,Miami Heat
0022300102,2023-10-30,0,1,105,112,Indiana Pacers,Chicago Bulls
0022300105,2023-10-30,0,1,91,99,Toronto Raptors,Portland Trail Blazers
0022300104,2023-10-30,1,1,127,113,Atlanta Hawks,Minnesota Timberwolves
0022300103,2023-10-30,0,0,107,126,Washington Wizards,Boston Celtics
0022300111,2023-10-30,1,1,106,103,Los Angeles Lakers,Orlando Magic
0022300106,2023-10-30,0,1,110,125,Memphis Grizzlies,Dallas Mavericks
0022300101,2023-10-30,0,0,121,133,Charlotte Hornets,Brooklyn Nets
0022300112,2023-10-31,0,1,91,109,Cleveland Cavaliers,New York Knicks
0022300114,2023-10-31,1,1,118,102,LA Clippers,Orlando Magic
0022300113,2023-10-31,0,1,114,115,Phoenix Suns,San Antonio Spurs
0022300116,2023-11-01,1,1,130,111,Toronto Raptors,Milwaukee Bucks
0022300115,2023-11-01,0,1,101,110,Detroit Pistons,Portland Trail Blazers
0022300125,2023-11-01,1,1,133,109,Utah Jazz,Memphis Grizzlies
0022300124,2023-11-01,1,1,114,105,Dallas Mavericks,Chicago Bulls
0022300123,2023-11-01,1,0,110,89,Minnesota Timberwolves,Denver Nuggets
0022300122,2023-11-01,1,1,128,119,Houston Rockets,Charlotte Hornets
0022300127,2023-11-01,1,1,130,125,Los Angeles Lakers,LA Clippers
0022300120,2023-11-01,0,1,89,95,New York Knicks,Cleveland Cavaliers
0022300119,2023-11-01,0,1,105,109,Miami Heat,Brooklyn Nets
0022300118,2023-11-01,1,1,155,104,Boston Celtics,Indiana Pacers
0022300117,2023-11-01,1,1,130,121,Atlanta Hawks,Washington Wizards
0022300121,2023-11-01,0,1,106,110,Oklahoma City Thunder,New Orleans Pelicans
0022300126,2023-11-01,1,1,102,101,Golden State Warriors,Sacramento Kings
0022300128,2023-11-02,1,1,114,99,Philadelphia 76ers,Toronto Raptors
0022300129,2023-11-02,1,1,125,116,New Orleans Pelicans,Detroit Pistons
