GAME_DATE,team1,elo1_pre,elo2_pre
1946-11-01,TRH,1300.0,1300.0
1946-11-01,NYK,1300.0,1300.0
1946-11-02,PRO,1300.0,1300.0
1946-11-02,STB,1300.0,1300.0
1946-11-02,CHS,1300.0,1306.7233
1946-11-02,DTF,1300.0,1300.0
1946-11-02,BOS,1300.0,1300.0
1946-11-02,PIT,1300.0,1300.0
1946-11-02,NYK,1306.7233,1300.0
1946-11-02,WSC,1300.0,1300.0
1946-11-03,CLR,1300.0,1293.2767
1946-11-03,TRH,1293.2767,1300.0
1946-11-04,PIT,1295.3092,1320.3811
1946-11-04,WSC,1320.3811,1295.3092
1946-11-05,DTF,1279.6189,1304.6908
1946-11-05,BOS,1294.8458,1309.6521
1946-11-05,STB,1304.6908,1279.6189
1946-11-05,CHS,1309.6521,1294.8458
1946-11-07,PHW,1300.0,1277.9456
1946-11-07,PRO,1305.1542,1316.084
1946-11-07,STB,1312.8473,1297.0712
1946-11-07,PIT,1277.9456,1300.0
1946-11-07,CHS,1316.084,1305.1542
1946-11-07,NYK,1297.0712,1312.8473
1946-11-08,TRH,1286.1534,1271.4624
1946-11-08,DTF,1271.4624,1286.1534
1946-11-09,CHS,1309.735,1289.1691
1946-11-09,DTF,1268.4468,1288.4139
1946-11-09,PRO,1311.5032,1273.2786
1946-11-09,STB,1302.5988,1337.7448
1946-11-09,TRH,1289.1691,1309.735
1946-11-09,BOS,1288.4139,1268.4468
1946-11-09,PIT,1273.2786,1311.5032
1946-11-09,WSC,1337.7448,1302.5988
1946-11-10,CLR,1307.1233,1334.6112
1946-11-10,WSC,1334.6112,1307.1233
1946-11-11,NYK,1307.3197,1315.2522
1946-11-11,PIT,1267.4674,1317.3143
1946-11-11,CHS,1315.2522,1307.3197
1946-11-11,PRO,1317.3143,1267.4674
1946-11-13,CHS,1329.3558,1275.2767
1946-11-13,DTF,1281.584,1307.223
1946-11-13,BOS,1275.2767,1329.3558
1946-11-13,PRO,1307.223,1281.584
1946-11-14,PHW,1304.667,1320.6311
1946-11-14,STB,1305.7323,1269.8861
1946-11-14,WSC,1320.6311,1304.667
1946-11-14,BOS,1269.8861,1305.7323
1946-11-15,TRH,1283.6519,1313.4436
1946-11-15,PRO,1313.4436,1283.6519
1946-11-16,BOS,1267.1501,1294.7554
1946-11-16,CHS,1334.7465,1316.6356
1946-11-16,NYK,1293.2161,1277.5587
1946-11-16,PRO,1302.3401,1275.3634
1946-11-16,STB,1308.4683,1321.1034
1946-11-16,TRH,1294.7554,1267.1501
1946-11-16,WSC,1316.6356,1334.7465
1946-11-16,PIT,1277.5587,1293.2161
1946-11-16,DTF,1275.3634,1302.3401
1946-11-16,CLR,1321.1034,1308.4683
1946-11-17,CLR,1314.2461,1321.4366
1946-11-17,CHS,1321.4366,1314.2461
1946-11-18,NYK,1296.2185,1291.9098
1946-11-18,PIT,1274.5563,1290.0051
1946-11-18,DTF,1291.9098,1296.2185
1946-11-18,TRH,1290.0051,1274.5563
1946-11-19,PHW,1308.6625,1315.3256
1946-11-19,TRH,1284.491,1307.6647
1946-11-19,STB,1315.3256,1308.6625
1946-11-19,CLR,1307.6647,1284.491
1946-11-20,DTF,1287.7742,1280.0704
1946-11-20,NYK,1300.3541,1328.0181
1946-11-20,WSC,1329.9454,1322.9524
1946-11-20,PIT,1280.0704,1287.7742
1946-11-20,CHS,1328.0181,1300.3541
1946-11-20,STB,1322.9524,1329.9454
1946-11-21,BOS,1271.9004,1319.3402
1946-11-21,PHW,1301.0356,1323.818
1946-11-21,PRO,1285.7937,1333.5576
1946-11-21,STB,1319.3402,1271.9004
1946-11-21,CHS,1323.818,1301.0356
1946-11-21,WSC,1333.5576,1285.7937
1946-11-22,TRH,1278.2225,1257.9297
1946-11-22,BOS,1257.9297,1278.2225
1946-11-23,DTF,1282.0223,1255.4705
1946-11-23,NYK,1304.5542,1313.9331
1946-11-23,PRO,1274.9045,1333.3109
1946-11-23,WSC,1344.4468,1280.6818
