gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0022301067,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,121.0,128.6,120.7,123.9,0.3,4.7,0.756,2.43,25.1,0.263,0.623,0.473,14.475,15.4,0.646,0.667,1.0,0.195,95.6,91.5,76.25,91.0,0.544
0022301067,1610612755,Philadelphia,76ers,PHI,sixers,240:00,120.7,123.9,121.0,128.6,-0.3,-4.7,0.667,3.11,20.2,0.377,0.737,0.527,9.526,9.8,0.532,0.562,1.0,0.197,95.6,91.5,76.25,92.0,0.456
0022301188,1610612754,Indiana,Pacers,IND,pacers,240:00,144.8,146.7,105.6,107.5,39.2,39.3,0.631,2.56,25.4,0.333,0.745,0.575,14.76,15.0,0.745,0.752,1.0,0.193,108.64,107.0,89.17,107.0,0.649
0022301188,1610612737,Atlanta,Hawks,ATL,hawks,240:00,105.6,107.5,144.8,146.7,-39.2,-39.3,0.641,1.47,17.5,0.255,0.667,0.425,15.614,15.9,0.506,0.57,1.0,0.197,108.64,107.0,89.17,107.0,0.351
0022300975,1610612758,Sacramento,Kings,SAC,kings,240:00,93.4,94.8,98.9,102.1,-5.6,-7.3,0.733,1.83,16.9,0.237,0.725,0.464,12.315,12.5,0.412,0.472,1.0,0.199,98.24,96.0,80.0,96.0,0.434
0022300975,1610612752,New York,Knicks,NYK,knicks,240:00,98.9,102.1,93.4,94.8,5.6,7.3,0.514,1.19,14.8,0.275,0.763,0.536,16.155,16.7,0.494,0.527,1.0,0.194,98.24,96.0,80.0,96.0,0.566
0022300976,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,138.4,137.3,128.2,127.7,10.2,9.5,0.686,3.18,23.9,0.233,0.778,0.481,10.874,10.8,0.67,0.699,1.0,0.198,100.88,101.5,84.58,102.0,0.515
0022300976,1610612756,Phoenix,Suns,PHX,suns,240:00,128.2,127.7,138.4,137.3,-10.2,-9.5,0.706,2.57,25.1,0.222,0.767,0.519,13.917,13.9,0.667,0.689,1.0,0.197,100.88,101.5,84.58,101.0,0.485
0022301089,1610612754,Indiana,Pacers,IND,pacers,240:00,124.9,129.1,108.5,108.8,16.4,20.3,0.66,3.5,22.5,0.365,0.725,0.544,9.391,9.7,0.578,0.602,1.0,0.194,104.4,102.5,85.42,103.0,0.616
0022301089,1610612751,Brooklyn,Nets,BKN,nets,240:00,108.5,108.8,124.9,129.1,-16.4,-20.3,0.488,1.33,14.9,0.275,0.635,0.456,14.66,14.7,0.529,0.559,1.0,0.199,104.4,102.5,85.42,102.0,0.384
0022301162,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,119.6,121.9,99.9,104.2,19.8,17.7,0.628,1.8,20.0,0.295,0.778,0.539,15.337,15.6,0.601,0.63,1.0,0.191,98.46,95.5,79.58,96.0,0.598
0022301162,1610612753,Orlando,Magic,ORL,magic,240:00,99.9,104.2,119.6,121.9,-19.8,-17.7,0.528,1.19,15.4,0.222,0.705,0.461,16.142,16.8,0.532,0.562,1.0,0.198,98.46,95.5,79.58,95.0,0.402
0022301168,1610612762,Utah,Jazz,UTA,jazz,240:00,124.1,129.2,122.6,126.0,1.5,3.1,0.614,1.69,19.0,0.477,0.643,0.57,16.019,16.7,0.586,0.627,1.0,0.197,99.28,96.0,80.0,96.0,0.545
0022301168,1610612745,Houston,Rockets,HOU,rockets,240:00,122.6,126.0,124.1,129.2,-1.5,-3.1,0.55,2.2,16.1,0.357,0.523,0.43,10.134,10.4,0.532,0.578,1.0,0.199,99.28,96.0,80.0,96.0,0.455
0022301173,1610612738,Boston,Celtics,BOS,celtics,240:00,131.4,129.7,96.4,98.0,35.0,31.7,0.63,5.67,22.7,0.353,0.872,0.602,6.017,5.9,0.587,0.597,1.0,0.2,100.7,100.5,83.75,101.0,0.66
0022301173,1610612766,Charlotte,Hornets,CHA,hornets,240:00,96.4,98.0,131.4,129.7,-35.0,-31.7,0.625,1.0,15.9,0.128,0.647,0.398,19.67,20.0,0.52,0.572,1.0,0.197,100.7,100.5,83.75,100.0,0.34
0022301054,1610612741,Chicago,Bulls,CHI,bulls,240:00,123.9,128.9,103.0,103.1,20.9,25.7,0.571,3.5,19.7,0.388,0.778,0.592,7.927,8.2,0.561,0.59,1.0,0.197,98.52,96.5,80.42,97.0,0.649
0022301054,1610612754,Indiana,Pacers,IND,pacers,240:00,103.0,103.1,123.9,128.9,-20.9,-25.7,0.735,1.92,18.8,0.222,0.612,0.408,13.525,13.5,0.476,0.52,1.0,0.198,98.52,96.5,80.42,96.0,0.351
0022301113,1610612745,Houston,Rockets,HOU,rockets,240:00,110.9,110.0,133.0,134.3,-22.1,-24.3,0.639,1.92,17.1,0.288,0.588,0.407,12.097,12.0,0.488,0.554,1.0,0.201,99.6,99.5,82.92,100.0,0.396
0022301113,1610612744,Golden State,Warriors,GSW,warriors,240:00,133.0,134.3,110.9,110.0,22.1,24.3,0.617,1.38,20.6,0.412,0.712,0.593,21.0,21.2,0.694,0.731,1.0,0.195,99.6,99.5,82.92,99.0,0.604
0022301058,1610612762,Utah,Jazz,UTA,jazz,240:00,102.1,103.7,110.0,110.3,-7.9,-6.5,0.641,1.14,17.9,0.244,0.727,0.483,20.243,20.6,0.548,0.599,1.0,0.201,107.96,107.0,89.17,107.0,0.45
0022301058,1610612759,San Antonio,Spurs,SAS,spurs,240:00,110.0,110.3,102.1,103.7,7.9,6.5,0.909,1.9,25.6,0.273,0.756,0.517,19.582,19.6,0.605,0.619,1.0,0.201,107.96,107.0,89.17,107.0,0.55
0022301192,1610612755,Philadelphia,76ers,PHI,sixers,240:00,103.3,107.0,86.4,86.9,16.8,20.1,0.732,2.14,20.5,0.328,0.887,0.595,13.514,14.0,0.5,0.521,1.0,0.197,101.54,99.5,82.92,100.0,0.597
0022301192,1610612751,Brooklyn,Nets,BKN,nets,240:00,86.4,86.9,103.3,107.0,-16.8,-20.1,0.594,1.46,15.5,0.113,0.672,0.405,13.068,13.1,0.44,0.475,1.0,0.199,101.54,99.5,82.92,99.0,0.403
0022301037,1610612741,Chicago,Bulls,CHI,bulls,240:00,102.6,105.0,102.0,108.1,0.6,-3.1,0.75,2.25,19.5,0.278,0.667,0.482,11.728,12.0,0.471,0.529,1.0,0.199,103.62,99.5,82.92,100.0,0.515
0022301037,1610612764,Washington,Wizards,WAS,wizards,240:00,102.0,108.1,102.6,105.0,-0.6,3.1,0.821,2.29,21.2,0.333,0.722,0.518,13.343,14.1,0.474,0.51,1.0,0.197,103.62,99.5,82.92,99.0,0.485
0022301115,1610612766,Charlotte,Hornets,CHA,hornets,240:00,126.4,129.2,114.5,118.6,11.9,10.6,0.674,1.45,22.1,0.207,0.63,0.482,20.383,20.8,0.701,0.755,1.0,0.194,99.28,96.5,80.42,96.0,0.569
0022301115,1610612753,Orlando,Magic,ORL,magic,240:00,114.5,118.6,126.4,129.2,-11.9,-10.6,0.571,2.4,17.2,0.37,0.793,0.518,9.956,10.3,0.495,0.545,1.0,0.198,99.28,96.5,80.42,97.0,0.431
0022301085,1610612759,San Antonio,Spurs,SAS,spurs,240:00,113.1,114.1,115.0,118.2,-1.9,-4.0,0.775,1.63,21.1,0.353,0.638,0.49,19.015,19.2,0.545,0.583,1.0,0.198,100.82,99.0,82.5,99.0,0.468
0022301085,1610612744,Golden State,Warriors,GSW,warriors,240:00,115.0,118.2,113.1,114.1,1.9,4.0,0.756,2.13,23.0,0.362,0.647,0.51,15.729,16.2,0.576,0.599,1.0,0.199,100.82,99.0,82.5,99.0,0.532
0022300972,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,112.6,113.1,117.7,119.2,-5.1,-6.1,0.919,2.43,24.2,0.188,0.744,0.451,14.079,14.1,0.568,0.606,1.0,0.199,99.84,99.0,82.5,99.0,0.469
0022300972,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,117.7,119.2,112.6,113.1,5.1,6.1,0.556,2.08,18.8,0.256,0.813,0.549,11.971,12.1,0.586,0.613,1.0,0.198,99.84,99.0,82.5,99.0,0.531
0022301050,1610612764,Washington,Wizards,WAS,wizards,265:00,110.7,113.3,115.0,116.2,-4.2,-2.9,0.565,1.86,18.8,0.229,0.778,0.52,13.026,13.3,0.582,0.604,1.0,0.199,96.72,95.09,79.25,105.0,0.478
0022301050,1610612751,Brooklyn,Nets,BKN,nets,265:00,115.0,116.2,110.7,113.3,4.2,2.9,0.511,3.0,17.1,0.222,0.771,0.48,7.539,7.6,0.531,0.564,1.0,0.198,96.72,95.09,79.25,105.0,0.522
0022300996,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,114.7,115.6,115.9,121.6,-1.2,-6.0,0.857,2.5,23.7,0.238,0.8,0.529,13.233,13.3,0.567,0.614,1.0,0.197,91.52,89.0,74.17,90.0,0.512
0022300996,1610612748,Miami,Heat,MIA,heat,240:00,115.9,121.6,114.7,115.6,1.2,6.0,0.5,2.38,16.1,0.2,0.762,0.471,8.662,9.1,0.536,0.586,1.0,0.193,91.52,89.0,74.17,88.0,0.488
0022301197,1610612759,San Antonio,Spurs,SAS,spurs,240:00,124.0,123.0,91.5,94.1,32.5,28.9,0.673,2.36,22.9,0.273,0.724,0.529,14.119,14.0,0.621,0.633,1.0,0.198,101.48,100.5,83.75,100.0,0.659
0022301197,1610612765,Detroit,Pistons,DET,pistons,240:00,91.5,94.1,124.0,123.0,-32.5,-28.9,0.472,1.21,12.9,0.276,0.727,0.471,13.487,13.9,0.435,0.471,1.0,0.199,101.48,100.5,83.75,101.0,0.341
0022301044,1610612748,Miami,Heat,MIA,heat,240:00,96.1,98.9,119.7,121.5,-23.6,-22.6,0.649,2.67,18.4,0.291,0.756,0.49,9.402,9.7,0.446,0.471,1.0,0.199,95.06,93.0,77.5,93.0,0.396
0022301044,1610612744,Golden State,Warriors,GSW,warriors,240:00,119.7,121.5,96.1,98.9,23.6,22.6,0.66,2.58,23.4,0.244,0.709,0.51,12.712,12.9,0.629,0.632,1.0,0.195,95.06,93.0,77.5,93.0,0.604
0022301040,1610612743,Denver,Nuggets,DEN,nuggets,240:00,129.4,129.3,97.3,104.0,32.1,25.3,0.792,2.38,25.0,0.395,0.613,0.524,16.175,16.2,0.617,0.654,1.0,0.198,102.4,99.0,82.5,99.0,0.651
0022301040,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,97.3,104.0,129.4,129.3,-32.1,-25.3,0.676,1.47,16.9,0.387,0.605,0.476,16.056,17.2,0.452,0.486,1.0,0.192,102.4,99.0,82.5,99.0,0.349
0022301021,1610612737,Atlanta,Hawks,ATL,hawks,240:00,140.2,143.5,96.6,97.8,43.5,45.6,0.8,4.44,27.6,0.31,0.706,0.527,9.558,9.8,0.667,0.686,1.0,0.196,94.16,92.5,77.08,92.0,0.668
0022301021,1610612766,Charlotte,Hornets,CHA,hornets,240:00,96.6,97.8,140.2,143.5,-43.5,-45.6,0.714,1.67,19.2,0.294,0.69,0.473,15.93,16.1,0.482,0.505,1.0,0.196,94.16,92.5,77.08,93.0,0.332
0022301130,1610612743,Denver,Nuggets,DEN,nuggets,240:00,133.9,135.2,105.0,104.8,28.9,30.5,0.717,2.24,25.3,0.222,0.778,0.556,16.032,16.2,0.733,0.747,1.0,0.196,105.4,105.0,87.5,105.0,0.634
0022301130,1610612737,Atlanta,Hawks,ATL,hawks,240:00,105.0,104.8,133.9,135.2,-28.9,-30.5,0.811,1.88,20.6,0.222,0.778,0.444,15.273,15.2,0.494,0.551,1.0,0.199,105.4,105.0,87.5,105.0,0.366
