gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0021301221,1610612759,San Antonio,Spurs,SAS,spurs,240:00,96.7,98.0,111.4,109.7,-14.6,-11.7,0.61,2.5,18.1,0.22,0.854,0.505,9.671,9.8,0.465,0.484,1.0,0.199,102.44,102.5,85.42,102.0,0.424
0021301221,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,111.4,109.7,96.7,98.0,14.6,11.7,0.644,3.22,21.2,0.146,0.78,0.495,8.869,8.7,0.555,0.574,1.0,0.199,102.44,102.5,85.42,103.0,0.576
0021301211,1610612762,Utah,Jazz,UTA,jazz,240:00,105.3,108.3,124.4,125.3,-19.1,-16.9,0.595,1.39,18.8,0.31,0.0,0.0,18.219,18.8,0.556,0.579,1.0,0.197,97.24,95.5,79.58,96.0,0.414
0021301211,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,124.4,125.3,105.3,108.3,19.1,16.9,0.689,2.38,22.8,0.0,0.69,0.0,13.587,13.7,0.61,0.649,1.0,0.201,97.24,95.5,79.58,95.0,0.586
0021301203,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,92.9,96.8,107.7,108.5,-14.7,-11.7,0.829,1.71,22.2,0.0,0.583,0.0,17.555,18.3,0.506,0.53,1.0,0.194,95.78,93.5,77.92,93.0,0.423
0021301203,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,107.7,108.5,92.9,96.8,14.7,11.7,0.69,1.71,20.8,0.417,0.0,0.0,17.948,18.1,0.523,0.544,1.0,0.201,95.78,93.5,77.92,94.0,0.577
0021301188,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,90.6,90.5,108.0,106.7,-17.3,-16.2,0.657,1.53,16.9,0.0,0.735,0.0,14.313,14.3,0.444,0.486,1.0,0.202,104.26,105.0,87.5,105.0,0.409
0021301188,1610612744,Golden State,Warriors,GSW,warriors,240:00,108.0,106.7,90.6,90.5,17.3,16.2,0.6,1.5,18.9,0.265,0.0,0.0,17.354,17.1,0.56,0.573,1.0,0.199,104.26,105.0,87.5,105.0,0.591
0021301161,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,111.7,115.0,130.3,128.3,-18.6,-13.3,0.864,3.45,23.8,0.175,0.0,0.0,9.45,9.7,0.537,0.589,1.0,0.199,113.86,113.0,94.17,113.0,0.431
0021301161,1610612745,Houston,Rockets,HOU,rockets,240:00,130.3,128.3,111.7,115.0,18.6,13.3,0.589,2.36,21.1,0.0,0.825,0.0,12.576,12.4,0.634,0.663,1.0,0.199,113.86,113.0,94.17,113.0,0.569
